maxim-lobanov/setup-xcode,15
niden/actions-memcached,15
gittools/actions/gitversion/setup,15
varunsridharan/action-repository-meta,15
ScaCap/action-surefire-report,15
dessant/repo-lockdown,15
benc-uk/workflow-dispatch,15
harmon758/postgresql-action,15
getong/mariadb-action,15
AdoptOpenJDK/install-jdk,15
gittools/actions/gitversion/execute,15
varunsridharan/action-vs-utility,15
olafurpg/setup-scala,15
Homebrew/actions/setup-homebrew,15
rjstone/discord-webhook-notify,15
turleypol/actions-status-discord,15
r-lib/actions/pr-fetch,15
r-lib/actions/pr-push,15
aabadie/riot-action,15
egor-tensin/setup-cygwin,15
cachix/cachix-action,15
ammaraskar/sphinx-action,14
sudo-bot/action-scrutinizer,14
crazy-max/ghaction-docker-meta,14
kiegroup/github-action-build-chain,14
dotnet/nbgv,14
crazy-max/ghaction-chocolatey,14
docker://puppet/pdk:nightly,14
andstor/copycat-action,14
act10ns/slack,14
ahmadnassri/action-dependabot-auto-merge,13
chekalsky/phpcs-action,13
SonarSource/gh-action_release/main,13
korelstar/xmllint-problem-matcher,13
cypress-io/github-action,13
android-actions/setup-android,13
ChristophWurst/xmllint-action,13
avsm/setup-ocaml,13
trilom/file-changes-action,13
appleboy/scp-action,12
battila7/get-version-action,12
cirrus-actions/rebase,12
micnncim/action-label-syncer,12
arduino/arduino-lint-action,12
shogo82148/actions-upload-release-asset,12
carlosperate/download-file-action,12
NuGet/setup-nuget,12
WyriHaximus/github-action-get-previous-tag,12
./.github/actions,12
aktions/codeclimate-test-reporter,12
pascalgn/automerge-action,12
tibdex/github-app-token,12
repo-sync/pull-request,12
codacy/codacy-analysis-cli-action,12
nelonoel/branch-name,12
./.github/actions/build-and-test,12
andrewmcodes/rubocop-linter-action,11
Gr1N/setup-poetry,11
./.github/actions/cmake,11
larsoner/circleci-artifacts-redirector-action,11
skx/github-action-publish-binaries,11
jimschubert/query-tag-action,11
SonarSource/gh-action_release/maven-central-sync,11
geekyeggo/delete-artifact,11
SonarSource/gh-action_release/download-build,11
ASzc/change-string-case-action,11
